slug,tool_name,category,current_status,should_upgrade_to_premium,safe_to_upgrade,premium_upgrade_type,required_safe_framing,recommended_index_status,pass_number,reason
riddle-generator,Riddle Generator,Random Generators,noindex_or_low_priority,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
icebreaker-generator,Icebreaker Generator,Random Generators,noindex_or_low_priority,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
product-title-generator,Product Title Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
sku-generator,SKU Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
testimonial-generator,Testimonial Generator,AI Text & Writing Generators,needs_premium_upgrade,yes,yes,"writing suite with tone/format controls, outlines, drafts, variants, and copy actions",none required beyond normal quality controls,noindex,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output.
keyword-generator,Keyword Generator,SEO & Marketing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
faq-generator,FAQ Generator,SEO & Marketing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
license-key-generator,License Key Generator,Developer & Web Generators,hold_sensitive,yes,yes,"developer utility suite with validation, formatted output, examples, and copy/export actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
recovery-code-generator,Recovery Code Generator,Developer & Web Generators,hold_sensitive,yes,yes,"developer utility suite with validation, formatted output, examples, and copy/export actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
coupon-code-generator,Coupon Code Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,noindex,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
barcode-generator,Barcode Text Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,noindex,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
refund-policy-generator,Refund Policy Generator,SEO & Marketing Generators,hold_sensitive,yes,yes,"SEO/marketing suite with structured fields, SERP/social previews, checklists, and copy/export actions",informational template only; not legal advice; encourage professional review; avoid jurisdiction-specific claims,noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
shipping-policy-generator,Shipping Policy Generator,SEO & Marketing Generators,good_enough,yes,yes,"SEO/marketing suite with structured fields, SERP/social previews, checklists, and copy/export actions",informational template only; not legal advice; encourage professional review; avoid jurisdiction-specific claims,noindex,23,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as hold_sensitive; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
affiliate-disclosure-generator,Affiliate Disclosure Generator,SEO & Marketing Generators,hold_sensitive,yes,yes,"SEO/marketing suite with structured fields, SERP/social previews, checklists, and copy/export actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
invoice-generator,Invoice Generator,Business & Brand Generators,hold_sensitive,yes,yes,"business document/brand suite with structured sections, options, compliance notes, and copy actions","administrative draft only; not financial/tax advice; require user verification of amounts, law, and records",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
meeting-agenda-generator,Meeting Agenda Generator,Business & Brand Generators,hold_sensitive,yes,yes,"business document/brand suite with structured sections, options, compliance notes, and copy actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
citation-generator,Citation Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,noindex,,Already classified premium after Pass 18; keep in regression QA.
linkedin-post-generator,LinkedIn Post Generator,Bio & Caption Generators,hold_sensitive,yes,yes,"platform-aware profile/caption suite with tone, length, CTA, variants, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
facebook-post-generator,Facebook Post Generator,Bio & Caption Generators,hold_sensitive,yes,yes,"platform-aware profile/caption suite with tone, length, CTA, variants, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
headline-generator,Headline Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
meme-text-generator,Meme Text Generator,Creative & Story Generators,needs_premium_upgrade,yes,yes,"creative writing suite with genre controls, structured prompts, variants, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output.
startup-name-generator,Startup Name Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
photography-name-generator,Photography Business Name Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
art-name-generator,Art Name Generator,Creative & Story Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
avatar-name-generator,Avatar Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
video-game-name-generator,Video Game Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
text-summary-generator,Text Summary Generator,Utility Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
typography-generator,Typography Generator,Font & Text Style Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
wordart-generator,Word Art Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,25,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
social-media-post-generator,Social Media Post Generator,Bio & Caption Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
email-subject-generator,Email Subject Line Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,"safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,,Already classified premium after Pass 18; keep in regression QA. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
minecraft-text-generator,Minecraft Text Generator,Font & Text Style Generators,hold_sensitive,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,28,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
dark-souls-text-generator,Dark Souls Message Generator,Gaming & Fantasy Generators,hold_sensitive,yes,yes,"worldbuilding/name suite with genre controls, lore snippets, tables, and copyable result cards","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,28,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
star-wars-text-generator,Star Wars Text Generator,Gaming & Fantasy Generators,hold_sensitive,yes,yes,"worldbuilding/name suite with genre controls, lore snippets, tables, and copyable result cards","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,28,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
spongebob-text-generator,Spongebob Text Generator,Font & Text Style Generators,hold_sensitive,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,28,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
undertale-text-generator,Undertale Text Generator,Gaming & Fantasy Generators,hold_sensitive,yes,yes,"worldbuilding/name suite with genre controls, lore snippets, tables, and copyable result cards","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,28,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
pokemon-text-generator,Pokemon Text Generator,Gaming & Fantasy Generators,hold_sensitive,yes,yes,"worldbuilding/name suite with genre controls, lore snippets, tables, and copyable result cards","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,28,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
drag-name-generator,Drag Queen Name Generator,Creative & Story Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
gamertag-generator,Gamertag Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"worldbuilding/name suite with genre controls, lore snippets, tables, and copyable result cards",none required beyond normal quality controls,low,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output.
dragonborn-name-generator,Dragonborn Name Generator,Gaming & Fantasy Generators,noindex_or_low_priority,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,25,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
email-name-generator,Email Address Name Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,"safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
synonym-generator,Synonym Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
footnote-generator,Footnote Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
all-caps-generator,ALL CAPS Generator,Font & Text Style Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
lowercase-generator,Lowercase Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,24,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
corporate-speak-generator,Corporate Speak Generator,Random Generators,noindex_or_low_priority,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
random-word-generator,Random Word Generator,Random Generators,good_enough,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,23,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current.
dialogue-tag-generator,Dialogue Tag Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
name-tag-generator,Name Tag Generator,Utility Generators,needs_premium_upgrade,yes,yes,"utility workflow suite with validation, settings, structured result panels, and copy/export actions",none required beyond normal quality controls,low,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output.
graffiti-text-generator,Graffiti Text Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,24,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
tag-cloud-generator,Tag Cloud Generator,SEO & Marketing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
blog-tag-generator,Blog Tag Generator,SEO & Marketing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
random-height-generator,Random Height Generator,Random Generators,noindex_or_low_priority,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
essay-title-generator,Essay Title Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
ao3-tag-generator,AO3 Tag Generator,Creative & Story Generators,good_enough,yes,yes,"creative writing suite with genre controls, structured prompts, variants, and copy actions",none required beyond normal quality controls,noindex,21,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
stable-diffusion-prompt-generator,Stable Diffusion Prompt Generator,AI Text & Writing Generators,hold_sensitive,yes,yes,"writing suite with tone/format controls, outlines, drafts, variants, and copy actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
character-prompt-generator,Character Prompt Generator,Creative & Story Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
content-brief-generator,Content Brief Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
press-release-generator,Press Release Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
author-bio-generator,Author Bio Generator,Bio & Caption Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
x-post-generator,X/Twitter Post Generator,Bio & Caption Generators,hold_sensitive,yes,yes,"platform-aware profile/caption suite with tone, length, CTA, variants, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
viral-hook-generator,Viral Hook Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
content-calendar-generator,Content Calendar Generator,SEO & Marketing Generators,good_enough,yes,yes,"SEO/marketing suite with structured fields, SERP/social previews, checklists, and copy/export actions",none required beyond normal quality controls,noindex,23,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as hold_sensitive; Pass 18 status is treated as current.
tagline-generator,Tagline Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
text-shadow-generator,CSS Text Shadow Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
css-grid-generator,CSS Grid Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
flexbox-generator,CSS Flexbox Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
html-table-generator,HTML Table Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
dummy-data-generator,Dummy Data Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,noindex,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
random-address-generator,Random Address Generator,Random Generators,good_enough,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,noindex,23,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
raffle-generator,Raffle Generator,Random Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
giveaway-generator,Giveaway Winner Generator,Random Generators,noindex_or_low_priority,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
character-backstory-generator,Character Backstory Generator,Creative & Story Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
worldbuilding-generator,Worldbuilding Generator,Creative & Story Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
roast-generator,Roast Generator,Random Generators,hold_sensitive,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results","consensual humor only; avoid harassment, hate, threats, doxxing, and targeted abuse",noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
quiz-generator,Quiz Question Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
thesis-statement-generator,Thesis Statement Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
landing-page-copy-generator,Landing Page Copy Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
json-schema-generator,JSON Schema Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
typescript-type-generator,TypeScript Type Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
sql-query-generator,SQL Query Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
htaccess-generator,.htaccess Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
pwa-manifest-generator,PWA Manifest Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
form-generator,HTML Form Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
jwt-generator,JWT Token Generator,Developer & Web Generators,hold_sensitive,yes,yes,"developer utility suite with validation, formatted output, examples, and copy/export actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
random-id-generator,Random ID Generator,Developer & Web Generators,needs_premium_upgrade,yes,yes,"developer utility suite with validation, formatted output, examples, and copy/export actions",none required beyond normal quality controls,noindex,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output.
flashcard-generator,Flashcard Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
study-plan-generator,Study Plan Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
lesson-plan-generator,Lesson Plan Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
research-question-generator,Research Question Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
bibliography-generator,Bibliography Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,noindex,,Already classified premium after Pass 18; keep in regression QA.
essay-topic-generator,Essay Topic Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
multiple-choice-generator,Multiple Choice Question Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
product-bullet-points-generator,Product Bullet Points Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
amazon-listing-generator,Amazon Listing Generator,Business & Brand Generators,hold_sensitive,yes,yes,"business document/brand suite with structured sections, options, compliance notes, and copy actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
etsy-listing-generator,Etsy Listing Generator,Business & Brand Generators,hold_sensitive,yes,yes,"business document/brand suite with structured sections, options, compliance notes, and copy actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
customer-persona-generator,Customer Persona Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
youtube-hook-generator,YouTube Hook Generator,Bio & Caption Generators,hold_sensitive,yes,yes,"platform-aware profile/caption suite with tone, length, CTA, variants, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
linkedin-summary-generator,LinkedIn Summary Generator,Bio & Caption Generators,hold_sensitive,yes,yes,"platform-aware profile/caption suite with tone, length, CTA, variants, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
